"Productnaam";"Interne referentie";"EAN";"Productgroep";"Beschrijving";"Nieuwe afbeeldingen";"Bestaande afbeeldingen";"Aantal artikelen in verpakking";"Aantal artikelen in verpakking Eenheid";"Aantal stuks in verpakking";"Aantal stuks in verpakking Eenheid";"Afwateringsgat";"Bediening verlichting";"CE Markering Document";"CE markering";"Diameter";"Diameter Eenheid";"Doelgroep";"E-mailadres of online contactformulier van de fabrikant";"Energielabel document";"Fabrikant Adres";"Fabrikant Naam";"Fotoformaat breedte";"Fotoformaat breedte Eenheid";"Fotoformaat lengte";"Fotoformaat lengte Eenheid";"Funkussen";"Geschikt voor type deur";"IP waarde";"Inclusief lichtbron";"Informatie datagebruik document";"Kleur";"Lichtbron verwijderbaar";"Materiaal";"Materiaal vulling";"Merk";"Met dimfunctie";"Ondersteuning met updates";"Product breedte";"Product breedte Eenheid";"Product hoogte";"Product hoogte Eenheid";"Product lengte";"Product lengte Eenheid";"Productinformatieblad document";"Producttaal";"Soort kaars";"Soort plantenbak";"Speciaal voor kinderen";"Taal handleiding";"Type fotolijst";"Type hordeur";"Type onderzetter";"Type plaid";"Type raamfolie";"Type schoenverzorging";"Type tafellaken";"Type tuinscherm";"Verkrijgt of genereert dan wel verzamelt data";"Verpakkingstaal";"Voedingstype";"Voor binnen of buiten";"Vorm";"Waarde energielabel";"Wasbaar";"Wattage per lichtpunt";"Wattage per lichtpunt Eenheid";"Wegwerp";"Woonthema";"Aansluitspanning";"Aansluitspanning Eenheid";"Aantal branduren";"Aantal branduren Eenheid";"Aantal foto's";"Aantal lichtpunten";"Aantal meegeleverde accu's/batterijen";"Aantal onderdelen";"Aantal vakken";"Aanvullende garanties";"Accuduur";"Aftersales Service(s)";"Anti-allergie";"Anti-slip";"BPA-vrij";"Bediening via mobiele app";"Bluetooth";"Breedte lampenkap";"Breedte lampenkap Eenheid";"Breekbaar";"Commercieel duurzaamheidsgarantie document";"Country";"Diameter lampenkap";"Diameter lampenkap Eenheid";"Dikte";"Dikte Eenheid";"Draaibaar";"Ergonomisch";"Fabrieksgarantie termijn";"Fan Merchandise";"Feestgelegenheid";"Fitting";"Fotomaat";"Game merchandise thema";"Geintegreerde USB poort";"Geschikt als bijzettafel";"Geschikt om op te zitten";"Geschikt voor Camper- of Caravan";"Geschikt voor aantal kaarsen";"Geschikt voor aantal pennen";"Geschikt voor aantal personen";"Geschikt voor boot";"Geschikt voor breedte balkonrailing";"Geschikt voor breedte balkonrailing Eenheid";"Geschikt voor leeftijd baby";"Geschikt voor materiaal";"Geschikt voor ruimte";"Geschikt voor wasdroger";"Gestoffeerd";"Geurnaam";"Geursoort";"Glow in the dark";"Handleiding";"Hittebestendig";"Inclusief Passe-partout";"Inclusief binnenkussen";"Inclusief houder";"Inclusief opbergruimte";"Inclusief poten";"Inclusief waterreservoir";"Ingeweven motief";"Inhoud";"Inhoud Eenheid";"Inklapbaar";"Inlusief bevestigingshaken";"Kledingmaat";"Kleur licht";"Kleurtemperatuur";"Kleurtemperatuur Eenheid";"Levensduur lichtbronnen";"Levensduur lichtbronnen Eenheid";"Lumen per lichtpunt";"Lumen per lichtpunt Eenheid";"MPN (Manufacturer Part Number)";"Magnetisch";"Magnetronbestendig";"Materiaal onderkant";"Materiaal tijk";"Merchandise van artiest";"Met draadloos oplaadstation";"Met klimrek";"Met lampenkap";"Met wielen";"Meubelafwerking";"Navulbaar";"Ongediertebestrijding";"Ophangbaar";"Ophangwijze";"Patroon";"Personage";"Personage van toepassing";"Product diepte";"Product diepte Eenheid";"Product gewicht";"Product gewicht Eenheid";"Profielbreedte lijst";"Profielbreedte lijst Eenheid";"Reparatie type";"Reparatiescore";"Seizoenscollectie";"Seizoensjaar";"Sluiting";"Smart Home Platform";"Snoer met stekker aan het product";"Snoerlengte";"Snoerlengte Eenheid";"Soort model";"Speciaal geschikt voor babykamer";"Speciaal geschikt voor barbecue";"Sportteam";"Stevigheid kussen";"Stijl";"Thema";"Type beker";"Type bevestiging";"Type bevestiging";"Type deurmat";"Type ergonomisch kussen";"Type keukendoek";"Type kussen";"Type lichtbron meegeleverd";"Type merchandise";"Type muursticker";"Type onderstel meubel";"Type slaper";"Uitzonderingen fabrieksgarantie";"Vaatwasser veilig";"Verkoelende werking";"Verpakking breedte";"Verpakking breedte Eenheid";"Verpakking hoogte";"Verpakking hoogte Eenheid";"Verpakking lengte";"Verpakking lengte Eenheid";"Verpakkingsgewicht";"Verpakkingsgewicht Eenheid";"Verpakkingsinhoud";"Verstelbaar";"Verstelmogelijkheden";"Vorstbestendig";"Vulgewicht";"Wasbare tijk of vulling";"Wasvoorschrift";"Waterafstotend";"eWaste"
Daisy Flowers Pannenlap Onderzetter rond roze 20cm;8717266051616;8717266051616;Pannenlap;<h3>Daisy Flowers Pannenlap Onderzetter Rond Roze 20cm</h3> <p>Voeg een fleurig accent toe aan je keuken met deze ronde pannenlap onderzetter van Linen & More. Het vrolijke Daisy Flowers patroon op een zacht roze achtergrond zorgt voor warmte en gezelligheid. Deze onderzetter beschermt je tafels en werkbladen tegen hete pannen en schalen.</p> <ul> <li>Diameter: 20cm</li> <li>Materiaal: 100% katoen</li> <li>Kleur: roze met bloemenprint</li> <li>Gewicht: 73 gram</li> <li>Eenvoudig schoon te maken volgens wasvoorschriften op label</li> </ul>;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Roze;;Katoen;;Mars & More;;;20;cm;;;20;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;Ophangoog;Overig;;;;;0.07;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;Pannenlap;;;;;;;;
Freddie Pannenlap Onderzetter rond roze 20cm;8717266051715;8717266051715;Pannenlap;<h3>Freddie Pannenlap Onderzetter Rond Roze 20cm</h3> <p>De Freddie pannenlap onderzetter van Linen & More is een praktische en stijlvolle toevoeging aan je keuken. Met een diameter van 20cm biedt deze ronde onderzetter optimale bescherming voor je tafels en werkbladen tegen hete pannen en schalen.</p> <ul> <li>Materiaal: 100% katoen</li> <li>Afmeting: 20x20x0,9cm</li> <li>Kleur: Roze</li> <li>Gewicht: 72,6 gram</li> <li>Makkelijk schoon te maken volgens wasvoorschrift op label</li> <li>Artikelnummer: 7048GJCU01</li> </ul>;;;1;stuk(s);;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Roze;;Katoen;;Mars & More;;;1;cm;;;20;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;Ophanglus;Overig;;;;;0.04;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;Pannenlap;;;;;;;;
Linen & More - Pannenlap - Indi Beige - 20x20cm - 1 stuk;8717266342479;8717266342479;Pannenlap;Bescherm je handen tegen hete schalen en pannen met deze pannenlap. De pannenlap is uitgevoerd in Indi Beige en heeft een formaat van 20 x 20 cm (100% CO);;;1;stuk(s);;;;;;;;;;hello@planethappy.nl;;Linen and More;Maison d'Abri®;;;;;;;;;;Beige;;Katoen;;Linen & More;;;20;cm;;;20;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;Ophanglus;Geruit;;;;;0.01;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nee;;;5;cm;5;cm;5;cm;0.01;kg;1 stuk;;;;;;;;
Linen & More- 1 stuk Pannenlappen indi grey;8717266342493;8717266342493;Pannenlap;Bescherm je handen tegen hete schalen en pannen met deze pannenlap. De pannenlap is uitgevoerd in Indy Grey en heeft een formaat van 20 x 20 cm (100% CO);;;1;stuk(s);;;;;;;;;;hello@planethappy.nl;;Linen and More;Maison d'Abri®;;;;;;;;;;grijs;;Katoen;;Linen & More;;;20;cm;;;20;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;Ophanglus;Geruit;;;;;0.30;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet van toepassing;;;20;cm;1;cm;20;cm;0.30;kg;1 stuks;;;;;;;;
Pannenlap - army green - Indy - Linen & More;8717266385247;8717266385247;Pannenlap;Bescherm je handen tegen hete schalen en pannen met deze pannenlap. De pannenlap is uitgevoerd in de kleur Army Green en heeft een formaat van 20 x 20 cm (100% CO);;;2;stuk(s);;;;;;;;;;info@b-living.eu;;B Living Platinastraat 100 7554 NB Hengelo Nederland;B-Living;;;;;;;;;;Army Green;;Katoen;;Linen & More;;;20;cm;;;20;cm;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;Ophanglus;Overig;;;;;0.10;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet van toepassing;;;20;cm;0.05;cm;20;cm;0.10;kg;Twee stuks;;;;;;;;
Daisy Flowers Ovenwant oranje 18x33cm;8717266051548;8717266051548;Ovenwanten;<h3>Daisy Flowers Ovenwant Oranje</h3> <p>Deze praktische ovenwant in warm oranje is onmisbaar in elke keuken. Met het vrolijke Daisy Flowers-patroon voegt deze hittebestendige handschoen stijl toe aan je keukentextiel. Gemaakt van duurzaam katoen voor optimale isolatie en comfort.</p> <ul> <li>Afmetingen: 33 x 18 cm</li> <li>Materiaal: 100% katoen</li> <li>Kleur: Oranje met bloemenprint</li> <li>Gewicht: 142 gram</li> <li>Wasvoorschriften: zie label</li> <li>Artikelnummer: 7057GJCT02</li> </ul>;;;1;stuk(s);;;;;https://media.s-bol.com/kmxgRQrAKo2Y/original.pdf;"Zichtbaar;https://media.s-bol.com/kmxgRQrAKo2Y/original.pdf";;;;hello@planethappy.nl;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Oranje;;Katoen;;Mars & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanglus;Overig;;;;;0.14;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;12;cm;1;cm;24;cm;0.12;kg;Ovenwant;;;;;;;;
Daisy Flowers dubbel Ovenwant oranje 18x85cm;8717266051555;8717266051555;Ovenwanten;<h3>Daisy Flowers Dubbel Ovenwant Oranje 18x85cm</h3> <p>De Linen & More Daisy Flowers dubbel ovenwant is een stylish en functioneel keukenaccesoire. Met het vrolijke bloemenpatroon in oranje brengt deze ovenwant gezelligheid in uw keuken. Gemaakt van 100% katoen en dubbel versterkt voor optimale hittebestendigheid.</p> <ul> <li>Afmetingen: 18x85cm</li> <li>Materiaal: Katoen</li> <li>Kleur: Oranje met bloemendesign</li> <li>Dubbele constructie voor extra bescherming</li> <li>Wasbaar volgens label</li> <li>Artikelnummer: 7067GJCT02</li> </ul>;;;1;stuk(s);;;;;https://media.s-bol.com/rwGpkRv942Yp/original.pdf;"Zichtbaar;https://media.s-bol.com/rwGpkRv942Yp/original.pdf";;;;hello@planethappy.nl;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Oranje;;Katoen;;Mars & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanglus;Overig;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;20;cm;1;cm;42;cm;0.21;kg;1 ovenwant;;;;;;;;
Freddie Ovenwant roze 18x33cm;8717266051722;8717266051722;Ovenwanten;<h3>Freddie Ovenwant Roze - Linen & More</h3> <p>Bescherm je handen met deze stijlvolle en functionele ovenwant in een trendy roze kleur. De Freddie ovenwant van Linen & More is gemaakt van 100% katoen en biedt optimale bescherming in de keuken.</p> <ul> <li>Afmetingen: 33 x 18 x 2,6 cm</li> <li>Materiaal: 100% katoen</li> <li>Kleur: Roze</li> <li>Gewicht: 142 gram</li> <li>Artikelnummer: 7057GJCU01</li> <li>Wasvoorschrift: zie etiket</li> </ul>;;;1;stuk(s);;;;;https://media.s-bol.com/85yg8lgwYzXo/original.pdf;"Zichtbaar;https://media.s-bol.com/85yg8lgwYzXo/original.pdf";;;;hello@planethappy.nl;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Roze;;Katoen;;Mars & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanglus;Overig;;;;;0.14;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;15;cm;1;cm;32;cm;0.13;kg;1 ovenwant;;;;;;;;
Freddie dubbel Ovenwant roze 18x85cm;8717266051739;8717266051739;Ovenwanten;<h3>Freddie Dubbel Ovenwant Roze - Linen & More</h3> <p>De Freddie dubbel ovenwant in roze is een onmisbare helper in de keuken. Dit extra lange ovenwant biedt optimale bescherming bij het werken met hete pannen en ovens. Met een dubbele laag katoen krijg je extra isolatie en veiligheid.</p> <ul> <li>Afmetingen: 85 x 18 cm - extra lang voor meer bereik</li> <li>Materiaal: 100% katoen - duurzaam en hittebestendig</li> <li>Kleur: Trendy roze - mooi in elke keuken</li> <li>Dubbele bescherming - twee lagen katoen</li> <li>Wasbaar volgens labelvoorschriften</li> <li>Gewicht: 142 gram - lichtgewicht en praktisch</li> </ul>;;;1;stuk(s);;;;;;Zichtbaar;;;;hello@planethappy.nl;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Roze;;Katoen;;Mars & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanglus;Overig;;;;;0.14;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;20;cm;1;cm;42;cm;0.14;kg;1x Ovenwant;;;;;;;;
Linen & More - Ovenwant 'Indi' (Offwhite);8717266342301;8717266342301;Ovenwanten;Met deze ovenwant hoef je je geen zorgen te maken dat je je handen brandt aan de oven of een hete pan. De ovenwant is uitgevoerd in de kleur lichtblauw-wit- taupe en is geschikt voor dagelijks gebruik.;;;1;stuk(s);;;;;https://media.s-bol.com/vAMw9zyLWyo5/original.pdf;"Niet van toepassing;https://media.s-bol.com/vAMw9zyLWyo5/original.pdf";;;;info@b-living.eu;;Linen and More;Maison d'Abri®;;;;;;;;;;Crème;;Katoen;;Linen & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanghaak;A-symmetrisch patroon;;;;;0;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;35;cm;15;cm;45;cm;0.01;kg;1;;;;;;;;
Linen & More -  Ovenwant Indi Beige;8717266342325;8717266342325;Ovenwanten;Met deze ovenwant hoef je je geen zorgen te maken dat je je handen brandt aan de oven of een hete pan. De ovenwant is uitgevoerd in de kleur lichtblauw-wit-taupe en is geschikt voor dagelijks gebruik.;;;1;stuk(s);;;;;https://media.s-bol.com/JKz1kPYlKwyD/original.pdf;"Niet van toepassing;https://media.s-bol.com/JKz1kPYlKwyD/original.pdf";;;;hello@planethappy.nl;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;beige;;Katoen;;Linen & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanglus;Overig;;;;;0.20;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;18;cm;1;cm;33;cm;0.20;kg;1 stuks;;;;;;;;
Linen & More - Ovenwant 'Indi' (Army Green);8717266385216;8717266385216;Ovenwanten;Ovenwant van het merk Linen & More met een afmeting van 33cm x 18cm x 1cm.;;;1;stuk(s);;;;;https://media.s-bol.com/YR3NzlPEj2x2/original.pdf;"Niet van toepassing;https://media.s-bol.com/YR3NzlPEj2x2/original.pdf";;;;hello@planethappy.nl;;B Living Platinastraat 100 7554 NB Hengelo Nederland;Maison d'Abri®;;;;;;;;;;Groen;;Katoen;;Linen & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ophanglus;Effen;;;;;0.20;kg;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;14;cm;1;cm;32;cm;0.20;kg;1;;;;;;;;
Theelichthouder fleury kaketoe medium 12cm;8716522094053;8716522094053;Decoratieve schaal;<h3>Theelichthouder Fleury Kaketoe Medium</h3> <p>Deze prachtige theelichthouder van Mars & More brengt kleur en gezelligheid in je interieur. Het medium formaat met het vrolijke kaketoe design past perfect op tafel, kast of vensterbank.</p> <ul> <li>Afmetingen: 10x10x12,5cm</li> <li>Materiaal: Glas</li> <li>Kleur: Multi (kleurrijk kaketoe design)</li> <li>Gewicht: 513 gram</li> <li>Onderhoud: Afnemen met een vochtige doek</li> <li>Artikelnummer: XMWLFK12</li> </ul>;;;;;1;stuk(s);;;;;10;cm;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Multi;;Glas;;Mars & More;;;10;cm;12.5;cm;10;cm;;;;;;;;;;;;;;;;;;;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;2024;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;25;mm;20;mm;30;mm;;;;;;;;;;;
*pennenbak koehuid luipaard 10cm*;8716522082364;8716522082364;Pennenbak;<h3>Pennenbak Koehuid Luipaard 10cm - Mars & More</h3> <p>Een karaktervolle pennenbak met authentieke luipaardenprint op natuurlijke koehuid. Ideaal voor het organiseren van schrijfgerei, pennen en potloden op uw bureau of werkplek. Het dierlijke design geeft uw interieur een natuurlijk en stijlvol accent.</p> <ul> <li>Materiaal: Echte koehuid met luipaardenprint</li> <li>Afmetingen: 9,5 x 9,5 x 10 cm</li> <li>Kleur: Multi (natuurlijke print)</li> <li>Gewicht: 178 gram</li> <li>Duurzaam en langdurig</li> <li>Unieke natuurlijke variaties per stuk</li> </ul>;;;;;;;;;;;9;cm;Kinderen en volwassenen;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Multi;;;;Mars & More;;;10;cm;10;cm;9;cm;;;;;;;;;;;;;;;;;;;Rond;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;N;;;N;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;cm;15;cm;20;cm;178;g;;;;;;;;;
schoenlepel steenbok 49cm;8716522024258;8716522024258;Schoenverzorging;schoenlepel steenbok 49cm;;;;;;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Zilver;;;;Mars & More;;;;;;;;;;;;;;;;;;;;Schoenpoets;;;;Geen taal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leer;;;;;;;;;;;;;;;;0;ml;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;mm;87;mm;531;mm;548;g;;;;;;;;;
*beker jungle wit 400cc*;8716522075090;8716522075090;Baby- en peuterdrinkbeker;<h3>Beker Jungle Wit 400cc - Mars & More</h3> <p>Een elegante en functionele beker uit de Jungle-collectie van Mars & More. Deze witte porseleinen beker met subtiel junglemotief is ideaal voor dagelijks gebruik en biedt comfort met zijn ergonomische design. Met een inhoud van 400ml is hij perfect voor uw ochtendkoffie of avondthee.</p> <ul> <li>Inhoud: 400cc</li> <li>Materiaal: Porselein</li> <li>Kleur: Wit met junglemotief</li> <li>Afmetingen: 11,5 x 8,5 x 10 cm</li> <li>Vaatwasserbestendig</li> <li>Artikelnummer: SCBBJW</li> </ul>;;;;;;;;;;;;;;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Wit;;Porselein;;Mars & More;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;ml;;;;;;;;;;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geen sportclub;;;;Open beker;;;;;;;;;;;;;Y;;20;cm;15;cm;25;cm;0.28;kg;1 mok;;;;;;;;
waterhyacinth windlicht rond franjes 27cm;8716522095746;8716522095746;Kandelaar;<h3>Waterhyacinth Windlicht Rond met Franjes</h3> <p>Dit prachtige windlicht van Mars & More is vervaardigd uit waterhyacint en voegt warmte en natuurlijke charme toe aan elke ruimte. Met de decoratieve franjes en ronde vorm creëert het een gezellige ambiance.</p> <ul> <li>Materiaal: Waterhyacint</li> <li>Kleur: Bruin</li> <li>Afmetingen: 17 x 12 x 27 cm</li> <li>Gewicht: 0,9 kg</li> <li>Artikelnummer: LJWWLF27</li> </ul>;;;;;1;stuk(s);;;;;17;cm;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Bruin;;Bamboe;;Mars & More;;;0;cm;27;cm;;;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;35;cm;35;cm;40;cm;0.01;kg;;;;;;;;;
rotan windlicht recht dubbel 14cm;8716522095838;8716522095838;Kandelaar;<h3>Rotan Windlicht Recht Dubbel 14cm</h3> <p>Dit prachtige rotan windlicht van Mars & More voegt warmte en natuurlijke schoonheid toe aan uw interieur. Het dubbele ontwerp biedt extra stabiliteit en een elegant verschijning voor elk huis.</p> <ul> <li>Materiaal: Natuurlijk rotan in bruin</li> <li>Afmetingen: 14 x 12 x 14 cm</li> <li>Gewicht: 0,94 kg</li> <li>Geschikt voor kaarsen en decoratie</li> <li>Ideaal voor binnen en buiten</li> <li>Artikelnummer: LJRWLRD14</li> </ul>;;;;;1;stuk(s);;;;;14;cm;Alle leeftijden;info@marsmore.com;;Platinastraat 100 7554 NB Hengelo;B-Living;;;;;;;;;;Bruin;;Bamboe;;Mars & More;;;14;cm;14;cm;;;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Modern;;;;;;;;;;;;;;;;;35;cm;35;cm;40;cm;0.01;kg;;;;;;;;;
Mars & More waxinelichthouder met veren patroon;8716522074796;8716522074796;Waxinelichtjeshouder;"<p>Deze waxinelichthouders met veren patroon geven een luxe uitstraling in je huis. De waxinelichthouders zijn gemaakt van glas en zijn van binnen bewerkt met een goud laagje. Ze zijn verkrijgbaar in verschillende maten; klein, middel en groot.</p> <p> </p> <p><strong>Sponsor met uw bestelling stichting DAPD.</strong><br />Besteld u bij Radey's (Via BOL.COM)?<br />Dan doneren wij €1,- van elk verkochte artikel aan stichting DAPD.</p> <p>Als doel heeft de DAPD om kinderen (en soms volwassenen) die het zwaar hebben in hun leven een positieve ervaring te bezorgen. Dit kan zijn doordat zij lijden aan een chronische lichamelijke-, psychische- en/of terminale ziekte of handicap.</p> <p>Ze doen dit door het invullen en opluisteren van ritten en evenementen voor deze doelgroep. Daarvoor maken ze gebruik van (replica’s van) originele Amerikaanse politievoertuigen en andere speciale voertuigen. Om de ervaring zo echt mogelijk te maken gebruiken wij voertuigen die lijken op Politievoertuigen die in de USA daadwerkelijk worden of zijn gebruikt. Ook gaan ze hiervoor tijdens evenementen vaak gekleed in de originele kleding die door de betreffende politiedienst gebruikt worden.</p>";;;;;1;stuk(s);;;;;8;cm;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo, Nederland;B-living;;;;;;;;;;Groen;;Glas;;Mars & More;;;8;cm;10;cm;8;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Landelijk;;;;;;;;;;;;;;;;;15;cm;15;cm;15;cm;0.05;kg;;;;;;;;;
Waxinelichthouder Veren Groen (12 x 10 cm);8716522074819;8716522074819;Waxinelichtjeshouder;<h3>Mars & More Theelichthouder Veren Groen Large</h3> <p>Deze prachtige theelichthouder van Mars & More combineert elegantie met functionaliteit. Met een verfijnd verenpatroon in trendy groen brengt deze glazen houder warmte en sfeer in elke ruimte.</p> <ul> <li>Afmetingen: 10 x 10 x 12 cm</li> <li>Materiaal: Kwalitatief glas</li> <li>Kleur: Groen</li> <li>Gewicht: 533 gram</li> <li>EAN: 8716522074819</li> <li>Onderhoud: Afnemen met een vochtige doek</li> </ul>;;;;;1;stuk(s);;;;;10;cm;Alle leeftijden;info@b-living.eu;;Platinastraat 100 7554 NB Hengelo, Nederland;B-living;;;;;;;;;;Groen;;Glas;;Mars & More;;;10;cm;12;cm;10;cm;;;;;N;;;;;;;;;;;;;Voor binnen;Rond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 seizoenen;Never out of stock;;;;;;;;;;;Landelijk;;;;;;;;;;;;;;;;;1;cm;1.20;cm;1;cm;0;kg;;;;;;;;;
